IDENTIFIER,GRAMMAR_PATTERN,CONTEXT
validate Public Static Void Methods,V NM NM NM NPL,4
lhs Component,NM N,3
running Log Average,NM NM N,3
usage,N,5
read Operation,NM N,5
get Id For Name,V N P N,4
folder Names,NM NPL,5
code Point To,NM N P,5
Warning Failure Exception,NM NM N,2
timeout Task,NM N,5
equals Offset,NM N,3
validator Strategies,NM NPL,1
token Data,NM N,3
tbl index,NM N,5
sanitize Path,V N,4
Mp4 Extractor,NM N,2
within vertically,P VM,3
PAI Arg,NM N,3
default Auto Entry,NM NM N,5
link URL,NM N,3
current Sequence,NM N,3
max scale f,NM NM N,5
n vector,NM N,5
active Copies,NM NPL,1
png get unknown chunks,NM V NM NPL,4
use Tabs,V NPL,5
transform Unique Id,NM NM N,3
Read Text File,V NM N,4
status File,NM N,5
silk bw expander 32,NM NM N D,4
rounded Bounds,NM NPL,3
num Vec Per Segment,NM N P N,3
target chars,NM NPL,3
Project Controller Private,NM N NM,2
key Events Copy,NM NM N,3
crop node,NM N,1
check GL Support,V NM N,4
Segmenter Core Annotations,NM NM NPL,2
char strings,NM NPL,1
undiscounted Amount,NM N,5
free cell,NM N,1
Start Slot,NM N,5
Ko Shadow Style Private,PRE NM N NM,2
d inf,NM N,3
extract Events,V NPL,1
Max Core,NM N,2
with Web Socket Upgrade,P NM NM N,4
x Tilt,NM N,4
img Type,NM N,3
learned Lop Expert Weights 2 D,NM NM NM NPL D N,5
tex ID,NM N,5
idp Configuration,NM N,3
Handshake Mode,NM N,2
value Count String,NM NM N,3
action To Index Map,N P NM N,1
have Mask,V N,3
bean Configs,NM NPL,1
EGLEW KHR stream fifo,PRE PRE NM N,1
Struct Ty,NM N,1
num Active Contexts,NM NM NPL,5
get Display Path,V NM N,4
convex Shapes,NM NPL,5
mapped color,NM N,5
merged Type,NM N,3
Expression Finder,NM N,2
deep Stub,NM N,4
FEED ADAPTER,NM N,1
fence,N,4
grouping,N,5
previous Is Valid,N V NM,5
nonce length,NM N,1
Is Indirect Result,V NM N,1
set Custom Uniform 1 f,V NM N D NM,4
max Buffer Size,NM NM N,1
items per second,NPL P N,3
notify Touch Down,V NM N,4
mark As Fetching,V P V,4
token Within Action,N P N,5
actual Count,NM N,1
end Of Input,N P N,3
TIFF Get Size Proc,NM V NM N,4
sort Field Data Type,NM NM NM N,1
skip Whitespace And Commas,V N CJ NPL,4
step Size,NM N,3
reduced Json,NM N,3
new Y,NM N,1
Token Type Decl,NM NM N,2
GL Config Attribs,PRE NM NPL,2
max Requests Per Host,NM NPL P N,5
context Url List,NM NM N,4
alternative Cache Name,NM NM N,5
param Def,NM N,3
output array,NM N,5
File Operator,NM N,2
Mono P Invoke Callback Attribute,NM NM NM NM N,2
inflation Leg NPV,NM NM N,4
pd Sum,NM N,3
get Working Directory,V NM N,4
LOGGER,N,1
Render Text,V N,4
print label flag,NM NM N,5
C Skinned Mesh,PRE NM N,2
inbound,NM,5
max input size,NM NM N,3
generate Rule Bypass Transitions,V NM NM NPL,3
INITIALIZATION ERROR,NM N,1
url From Json,N P N,4
rgb 2 rgb565,N P N,4
GEN SUBJ,NM N,1
set Destructor Callback,V NM N,4
Basic Replication Request,NM NM N,2
desktop Size,NM N,5
V URL Encode,PRE N V,4
min Font Size,NM NM N,1
is Dependency Changed,V N V,4
binormal type,NM N,3
min Fresh Seconds,NM NM NPL,5
supported Style,NM N,3
point index,NM N,5
Suite Method,NM N,2
Bitmap Data Size,NM NM N,1
is Trained,V V,3
is Blocked By Shutdown,V V P N,4
cookie Jar,NM N,1
loaded mentions count,NM NM N,3
transform Path,V N,4
num Files,NM NPL,5
update Mouse Pos,V NM N,4
EMBEDDED VERSION,NM N,1
concrete Follower Indices,NM NM NPL,5
connection state,NM N,5
cache file,NM N,5
split Argument List,V NM N,4
next Search,NM N,3
New Aggregate Builder Map,NM NM NM N,2
Multiple Failure Exception,NM NM N,2
current Root,NM N,5
forked iter,V N,3
dst Saturation,NM N,3
v Tok,NM N,3
attribute Decls,NM NPL,1
Attribute,N,2
fixed Cam,NM N,3
max Age Seconds Long,NM NM NPL NM,3
cause Matcher,NM N,5
choose Document,V N,4
Cq Event Queue,NM NM N,2
tot elem,NM N,1
status File,NM N,3
light Dim,NM N,5
set Layer Texture Name,V NM NM N,4
colored Count,NM N,1
clang Can Ty,PRE NM N,3
Reset Token Stats,V NM NPL,4
depth Stencil As Texture,NM N P N,1
Shift Reduce Train Options,NM NM NM NPL,2
melanin ofs,NM N,3
emit Address,V N,4
new Warning Header Size,NM NM NM N,3
bt Deformable Contact Constraint,PRE NM NM N,2
show tags,V NPL,1
m num Visual Shapes Copied,PRE NM NM NM N,1
m VS Out Light Position,PRE NM NM NM N,1
requested Plugins,NM NPL,3
inverted Direction,NM N,3
Reconstruct Update Callback,NM NM N,2
on connect,P N,5
OAuth Session Factory,NM NM N,2
reference Index Meta Datas,NM NM NM NPL,1
retain Function,NM N,5
has View Relative Texture Coordinate Generation,V NM NM NM NM N,4
num Tess Face Data,NM NM NM N,1
PARENT,N,1
rotate desc,NM N,1
stmt Close,N V,4
GET SOURCE NAME,NM NM N,1
block Nr,NM N,5
H pack,NM N,2
Address Lowering,N V,2
wait Until,V P,3
set Frame Pen,V NM N,4
X scale,NM N,1
Setting Manager,NM N,2
read subframe,V N,4
parser Errors,NM NPL,1
Default Ssl Roots Override,NM NM NPL NM,2
get PID No Exceptions,V N DT NPL,4
with Rate Bound,P NM N,4
sqlite3 Walk Expr List,PRE V NM N,4
current Charuco Corners,NM NM NPL,3
Lsm Basis System,NM NM N,2
addr,N,5
append Sequence,V N,4
last Gradient,NM N,4
Detect Leaks,V NPL,1
inet Socket Address,NM NM N,1
Tsurgeon Parse Exception,NM NM N,2
num axis events,NM NM NPL,1
palette poll,N V,4
Refutable Pattern Initialization,NM NM N,2
tlv Symbols,NM NPL,1
step x,NM N,3
RS Stencil Operation,NM NM N,2
Chinese Treebank Parser Params,NM NM NM NPL,2
dump Core Map To String Builder,V NM N P NM N,4
parse Max Age,V NM N,4
delay agnostic enabled,NM N V,1
Response Handlers,NM NPL,2
Action Translator,NM N,2
cap Times,NM NPL,3
C Image Writer JPG,PRE NM N NM,2
Bucket Collector,NM N,2
Array Count Propagation,NM NM N,2
C Image,PRE N,2
down sample,NM N,5
add Object Index,V NM N,4
training Examples,NM NPL,4
last Token Was Delete Or Default,NM N V N CJ N,3
cam Rot Z,NM NM N,3
ios,N,5
Min Error,NM N,5
current Invocation,NM N,5
Replacement Length,NM N,1
Temp Comp Mask,NM NM N,2
H Wnd,N NM,1
fixed Leg Frequency,NM NM N,3
is Node A Left Child Leaf,V N DT NM NM N,3
save Dual Cells,V NM NPL,5
pnm load raw pfm,NM V NM N,4
dep H,NM N,5
next Unassigned,NM NM,4
get Diffuse Colour,V NM N,4
built Url,NM N,5
tranched Loss After,NM N P,3
new Sil Type,NM NM N,3
Generic Type Extractor,NM NM N,2
strength,N,5
var Args,NM NPL,3
tmp vec,NM N,3
is V,V NM,5
on Group Call Key Sent,P NM NM N NM,4
set Extra Interfaces,V NM NPL,4
parent Had Big Change,N V NM N,5
echo path change,V NM N,5
of To Binary,PRE P N,4
stack,N,1
color Map,NM N,5
REPL Module,NM N,3
SU Time,NM N,2
mock Method,NM N,3
Reserve Fn,NM N,5
D3D11 Unsupported Gpu Program,NM NM NM N,2
id Mention,N NM,3
err ret,NM N,5
x 2,N D,3
comparison Value,NM N,5
m First Render Queue,PRE NM NM N,1
radius,N,5
Bounding Radius,NM N,1
AUD Sound envelope,PRE NM N,4
Icy Decoder,NM N,2
layer mask source node,NM NM NM N,1
current Prefix,NM N,5
Controlled Object,NM N,2
check T,V N,4
Array Struct Value,NM NM N,5
in Cache,P N,3
in buffer,NM N,5
App ID,NM N,5
Get DMF Header,V NM N,4
keep Aspect,V N,1
text Chopped 2,N NM D,3
Then,N,1
Executor,N,2
passphrase,N,3
reapply Filter,V N,4
Define,N,2
enum Count,NM N,3
C D3D9 Render Target,PRE NM NM N,2
samplers,NPL,1
rem F,NM N,3
state To Grammar Region Map,N P NM NM N,1
number Str,NM N,5
num Factors,NM NPL,5
Value,N,2
Run Before Params,V NM NPL,2
best Node,NM N,3
m contact Motion 1,PRE NM N D,1
Change Scroll,V N,2
movie Media Handler,NM NM N,3
get Initial Window Size,V NM NM N,4
mod Iface,NM N,3
bt Collision Shape,PRE NM N,2
Point 3,N D,2
win Error,NM N,3
enabled subdevices,NM NPL,1
name Container,NM N,1
institution,N,5
identifier quark,NM N,3
Media Chunk Iterator,NM NM N,2
cms Pricer,NM N,3
get Number Of Transitions,V N P NPL,4
dump cemd cmd,V NM N,4
set Project Naming Strategy,V NM NM N,4
overriden Function It,NM NM N,3
waiting List,NM N,5
Declaration Item,NM N,2
f curve Found,NM N V,3
Main Class,NM N,2
other Data Len Bits,NM NM NM NPL,1
gimp filter tool set gyroscope,PRE NM N V N,4
expected String,NM N,3
check Not Local,V VM N,4
Label Action,NM N,2
Completion Handler I Unary Response Client Callback,NM N NM NM NM NM N,1
request bytes,NM NPL,3
tick Freq,NM N,5
C At Grayscale,PRE NM N,2
Dispatch Paint Mask,NM NM N,2
fingerprint Dialog,NM N,1
gimp wire compare,PRE N V,4
remap Nearest Neighbor,V NM N,4
KEY PASSWORD PROFILES,NM NM NPL,1
Rest Client,NM N,2
unload Textures,V NPL,4
Null Program,NM N,2
avg Map,NM N,3
http2 Error Code,NM NM N,5
EGLEW ANDROID frame buffer target,PRE PRE NM NM N,1
Link Name,NM N,1
next Line,NM N,5
min Fresh,NM N,5
imb stereo3d read interlace,PRE NM V N,4
m post Fix,PRE NM N,1
default open,NM N,5
max Work Group Size,NM NM NM N,1
Internal,NM,2
dispose,N,5
highlighter,N,5
assigns,NPL,5
Is Return Bridged,V N NM,1
z p i,NM NM N,5
Rule Member Validator,NM NM N,2
find Source Subdir,V NM N,4
refresh Metric,NM N,5
promises,NPL,5
kinects Copy,NM N,3
palette size,NM N,5
filtered Children,NM NPL,1
ADDRESS TYPE IPV4,NM NM N,1
m Preview Started,PRE N NM,1
line index mask len,NM NM NM N,5
b Multi Fullscreen,PRE NM N,5
operator Method Decls,NM NM NPL,5
null Passed To Verify No More Interactions,N V P V VM DT NPL,4
ares expand name for response,PRE V N P N,4
GLX Configurator,NM N,2
cone translation,NM N,3
new Strokes,NM NPL,1
Default Injection Engine,NM NM N,2
num metadata,NM N,3
from Server,P N,5
field Offset Vector,NM NM N,3
Transport Shard Refresh Action,NM NM NM N,2
num light,NM N,1
OF Android Sound Player,PRE NM NM N,2
non Greedy States Builder,NM NM NM N,3
Scroll Id For Node,NM N P N,2
run Methods,V NPL,4
DEPOT MESSAGE START,NM NM N,3
accelerometer Data,NM N,5
simple Fn Ty,NM NM N,3
parent Pairs,NM NPL,4
Base Loader Callback,NM NM N,2
previous Initial Value,NM NM N,5
Part Document Private,NM N NM,2
is Vaild,V NM,5
labels,NPL,5
Piecewise Constant Abcd Variance,NM NM NM N,2
f Context Length,PRE NM N,1
force Direct,V N,5
code Exception Message,NM NM N,3
cache Body Unbuffered,NM N NM,3
base Category,NM N,3
runner Override,NM N,1
check Next,V N,3
byte Count,NM N,3
OF Android Life Cycle Helper,PRE NM NM NM N,2
REFRESH INTERVAL IN MILLIS,NM N P NPL,1
Convert To Php Namespace,V P NM N,4
numbering Path,NM N,3
feature Iterator,NM N,3
whole regexp,NM N,1
worker Thread Wait,NM N V,4
equals Builder,NM N,3
temp Attrs,NM NPL,3
Android Byte Buddy Mock Maker,NM NM NM NM N,2
out d G,N NM NM,3
is First Frame,V NM N,1
always preview,VM V,3
File Item Delegate,NM NM N,2
Code Generator Private,NM N NM,2
with Charset,P N,4
Op Pool,NM N,2
saturated cast,NM N,4
src File Info,NM NM N,3
suppress File,V N,5
depth cb,NM N,1
order With,V P,4
read White Space,V NM N,4
on Item Long Click Listener,P NM NM NM N,1
brush Hatch,NM N,5
r,N,5
resamplers,NPL,1
send Serial Config,V NM N,4
File,N,1
file Descriptor Proto,NM NM N,1
line 1 grad,NM D N,3
rotation Per Second,N P N,5
discount Factor,NM N,5
scene Node Type Name,NM NM NM N,5
previous Caption,NM N,1
default look,NM N,3
Current Scene Node,NM NM N,1
create Sub Buffer,V NM N,4
v proj axis,NM NM N,3
OF Orientation Listener,PRE NM N,2
img stub,NM N,3
value Hash,NM N,1
inst Results,NM NPL,3
Single Period Timeline,NM NM N,2
get Msg Send Super Ty,V NM NM NM N,4
get Binary Side,V NM N,4
gimp eraser default,PRE N NM,4
init For Group,V P N,4
reset Meta Class Cache,V NM NM N,4
process Helper,NM N,4
unregistered request matcher,NM NM N,1
Initialize Dual Graph,V NM N,4
TEGRA MORPH INIT,PRE N V,4
DEFAULT BLOCKED ITEM COMPARATOR,NM NM NM N,3
declare Component,V N,4
spline max len,NM NM N,1
txt alias,NM N,3
Cmd Output Operation Type,NM NM NM N,2
w Width,NM N,1
UNKNOWN USERNAME,NM N,1
l b layer,NM NM N,5
value X,NM N,3
save As Quadratic Png,V P NM N,4
INDEX PREFIX WITH TEMPLATE,NM N P N,1
Predicate Wrapper,NM N,2
all Factors,DT NPL,5
format OK,N NM,3
project file,NM N,5
Clear Active ID,V NM N,4
CRF Non Linear Log Conditional Objective Function,NM NM NM NM NM NM N,2
Explicit Euler Scheme,NM NM N,2
f Tolerance,NM N,5
array Class,NM N,5
assign Lexer Token Types,V NM NM NPL,4
Server Safe Handle,NM NM N,2
lower tail,NM N,3
read Pass,V N,4
add Ordered List,V NM N,4
Fd Black Scholes Vanilla Engine,NM NM NM NM N,2
setup Bounding Box Vertices,V NM NM NPL,4
b Is Playing,PRE V V,1
create Duplicate Change Id,V NM NM N,4
Record Header,NM N,2
HDR Listener,NM N,2
Quad,N,2
Sub Module Name Visibility Pairs,NM NM NM NM NPL,1
m Sky Box Orientation,PRE NM NM N,1
dependencies ST,NM N,3
curves,NPL,4
do Caps,V NPL,5
is Generic Type Disambiguating Token,V NM NM NM N,4
start Dirs,NM NPL,5
m paste Mode,PRE NM N,1
size Guess,NM N,3
client,N,1
curr Thread Exception,NM NM N,3
dest points,NM NPL,5
avg 1,N D,3
expect rows,NM NPL,3
Command t,NM N,2
multiple Occurences,NM NPL,1
Temporary Folder,NM N,2
get Failure Timestamp,V NM N,4
BKE lattice index flip,PRE NM N V,4
content Type String,NM NM N,5
dump Frame buffer Formats,V NM NM NPL,4
future Active Doc,NM NM N,3
render result exr file end,V NM NM NM N,4
rgb real,NM N,3
set Canonical Mention Begin,V NM NM N,4
component Type,NM N,1
script Event Action Factories,NM NM NM NPL,1
s Tracking System Name,PRE NM NM N,3
OP CODE CONTINUATION,NM NM N,1
num Verts In A,NM NPL P N,3
clip Dist Bug,NM NM N,3
ambient coefficient,NM N,5
corr QC,NM N,3
color Conversion System,NM NM N,1
C Burning Shader Raster Reference,PRE NM NM NM N,2
m count Activities,PRE NM NPL,1
dst Type 1,NM N D,3
List Level,NM N,2
child Statement,NM N,5
encoded Values,NM N,5
pre Map,P N,5
root ptr,NM N,3
Expected Exception,NM N,2
is a empty,V DT N,3
Verification Mode Factory,NM NM N,2
in Order Wrapped Verification Mode,P N NM NM N,1
next Fragment Expression,NM NM N,3
Publish Response,NM N,2
compare Fields By Name,V NPL P N,3
Value Label,NM N,2
Light Attenuation Value,NM NM N,2
supplier Class,NM N,5
ordered Invocations,NM NPL,5
Step No,NM N,1
Resolved Failed Exception,NM NM N,2
z probs,NM NPL,5
num primes,NM NPL,3
footnotes Position,NM N,1
Text Paint View,NM NM N,2
runner Factory,NM N,5
paint radio,NM N,3
Node Shape,NM N,2
key Frame 2,NM N D,5
Pointer Map,NM N,2
DEFAULT FACTORY,NM N,1
UNRESTRICTED,NM,1
separator Color,NM N,5
import G,NM N,5
wat id,NM N,3
Container Tab Bar,NM NM N,2
packet sent,NM N,1
generated Token On Creation,NM N P N,3
row limit,NM N,1
selection bounds,NM NPL,3
f Matcher,PRE N,1
media Chunk Index,NM NM N,5
Mention Detection Evaluator,NM NM N,2
do Login Entry,V NM N,4
followUp,N,3
Token Property Ref channel,NM NM NM N,2
pronoun,N,5
Deserialization Context,NM N,2
Caplet Variance Curve,NM NM N,2
eglew Create Platform Window Surface,PRE V NM NM N,1
dialog info update,NM N V,4
other side x,NM NM N,1
free Positions,NM NPL,3
out buf,NM N,5
packet Sample Count,NM NM N,5
sqlite3 session config,PRE N V,4
id A,NM N,5
grpc chttp2 mark stream writable,PRE PRE V N NM,4
current Open Shards,NM NM NPL,3
Heat Vision Listener,NM NM N,2
gimp image file get thumbnail,PRE NM N V N,4
super Method,NM N,5
Rule Property Ref ctx,NM NM NM N,2
resize Linear Open CV,V NM NM N,4
tune Treebank,NM N,3
Alt And Context Config Equality Comparator,N CJ NM NM NM N,2
add Bias To Embedding,V N P N,1
Token Property Ref,NM NM N,2
Cached Region Tracker,NM NM N,2
Ko Rgb U8 Invert Color Transformation,PRE NM NM NM NM N,2
Dvb Subtitle Reader,NM NM N,2
Dispatch Mask Buffer Iterator,NM NM NM N,2
write Root,V N,5
inner Angle,NM N,5
f m m,NM NM N,3
coterminal Model,NM N,3
rules Of New Chain,NPL P NM N,3
Dual Con Input Reader,NM NM NM N,2
class Annotations,NM NPL,4
static Rect,NM N,3
mkt Factors,NM NPL,5
write Node Materials,V NM NPL,4
sub start,NM N,3
Reference Range,NM N,5
curvatures height,NM N,5
Child Location,NM N,2
X dnd Type List,NM NM NM N,1
Arabic Segmenter,NM N,2
D obj Points,NM NM NPL,2
User 2 Internal Index,N P NM N,2
pixel Width,NM N,1
factory Class,NM N,3
parse Expires,V NPL,4
build time minor,NM NM N,5
obj Proj,NM N,3
index Tensor,NM N,5
layer sizes,NM NPL,3
get Constant Reference For Protocol Descriptor,V NM N P NM N,4
Added Unicode Smp,NM NM N,1
Rolling Friction Demo,NM NM N,2
Ch,N,3
adjusted Gradient,NM N,4
prev Property,NM N,1
nd Formula,NM N,3
driver Type Name,NM NM N,5
speech in,NM N,5
default Answer,NM N,1
weights Multipliers,NM NPL,1
Ares Dns Resolver,NM NM N,2
append Python Style Escaped Code Point,V NM N NM NM N,4
first Space,NM N,3
BUCKETS PATH FIELD,NM NM N,1
Less Dummy Gui Helper,NM NM NM N,2
Stubbing Comparator,NM N,2
res Width,NM N,5
Contextualize Closures,V NPL,2
Content Path,NM N,2
Sibling Info,NM N,5
print t,V N,5
size contents,NM NPL,5
env Name,NM N,5
history Action,NM N,1
docking Area,NM N,5
glew Render Mode,PRE NM N,1
col Length Left,NM NM N,3
pem key,NM N,5
method Handles,NM NPL,3
Jnt Array Acc,NM NM N,2
idx u,NM N,3
MP4 Input,NM N,2
Read Bitstream,V N,2
times To Append Last Matcher,NPL P V NM N,5
